case,label,solver,decision,final_status,flux_rmse,replay_rmse,runtime_s,n_iter,lambda_used,solver_status
case_0001,"step, low-noise",tikhonov,weak_pass,weak_pass,4885.590189567677,0.10022842382884795,0.06504920497536659,1,1.9336328805176017e-09,success
case_0001,"step, low-noise",tsvd,weak_pass,weak_pass,6043.634400264071,0.08567491306950577,0.056070900056511164,1,0.01,success
case_0007,"step, med-noise",tikhonov,weak_pass,weak_pass,1976.6084447449393,0.09934993794529308,0.06328427698463202,1,4.388400196433951e-08,success
case_0007,"step, med-noise",tsvd,weak_pass,weak_pass,4166.206403525658,0.0851495543881071,0.05559852719306946,1,0.01,success
case_0013,"step, high-noise",tikhonov,weak_pass,weak_pass,1697.0543260424595,0.10116288064536724,0.06436287704855204,1,2.3502809753699754e-08,success
case_0013,"step, high-noise",tsvd,weak_pass,weak_pass,4308.091599527479,0.08529761730884812,0.05495457584038377,1,0.01,success
case_0006,"ramp, low-noise",tikhonov,weak_pass,weak_pass,8286.585964063059,0.9968790085347641,0.06474514724686742,1,2.090606650064445e-07,success
case_0006,"ramp, low-noise",tsvd,weak_pass,fail,40803.13411175905,0.9330450871590451,0.05549606587737799,1,0.01,success
case_0012,"ramp, med-noise",tikhonov,weak_pass,weak_pass,5464.836288917394,0.9978170433019535,0.06290265405550599,1,7.288618329537238e-07,success
case_0012,"ramp, med-noise",tsvd,weak_pass,fail,41296.3529881028,0.9337001188742869,0.05595431383699179,1,0.01,success
