sensor_1_K,sensor_2_K
300.152359,300.089638
299.480008,300.109998
300.375227,300.679594
300.470287,300.417556
299.024498,300.178438
299.348953,300.731660
300.064020,299.405639
299.842086,299.680170
299.991990,299.536804
299.574161,299.805265
300.440818,299.311949
300.390636,300.318051
300.035604,299.889625
300.567330,299.265692
300.238902,299.493782
299.577301,300.158944
300.193531,300.422027
299.532374,301.002289
300.454195,301.462019
299.993700,300.213684
299.930504,299.513350
299.687362,298.944004
300.644648,300.146081
299.962360,299.608262
299.832444,299.809891
299.878297,299.714707
300.329082,299.953914
300.255058,300.561239
300.288990,300.111118
300.309234,299.958042
301.176795,299.524739
299.915891,299.210887
299.877116,299.811210
299.741532,300.034099
300.472660,300.952086
300.746510,300.140910
300.143530,300.575330
299.800058,299.843049
299.828704,299.509524
300.588247,299.629312
300.657801,299.759718
300.582209,301.197624
300.003583,299.734360
300.479386,300.576577
300.449885,299.718771
300.530398,300.649550
300.887559,300.390400
300.595710,300.134400
300.856710,300.207769
300.585650,299.916822
300.732280,300.483950
300.940463,300.050749
299.934558,299.683386
300.542812,299.675784
300.508141,300.420214
300.465704,301.143226
300.690489,300.454014
301.619508,300.335601
300.484118,300.559279
301.447139,301.091338
300.168451,300.570504
300.890195,300.278303
301.187573,301.060320
301.448613,300.745390
301.561102,301.323125
301.652765,300.671466
301.132877,299.992553
301.127686,299.945949
301.839872,301.481002
301.367579,301.543113
300.877981,300.617458
301.001943,300.541719
301.161713,301.490251
301.922882,300.232303
301.798307,300.364801
302.124980,301.160168
301.618524,300.667506
301.963526,300.888474
302.248772,300.835424
301.832561,301.111889
302.266343,301.672604
301.757105,301.039686
301.955972,301.341624
301.995312,300.019526
301.636130,301.044870
302.524526,300.671858
302.092392,300.507905
302.378399,300.701636
302.656537,300.996585
302.682344,301.644037
302.833542,300.544807
302.492191,301.244691
302.369144,301.008094
302.579033,301.106555
301.812033,301.791374
301.967632,301.578029
302.063985,301.996006
302.259496,301.267733
302.989412,301.014026
302.366800,301.266402
302.659073,301.515228
303.524979,301.497224
302.723036,300.881004
303.294323,301.482006
302.481752,301.563738
302.867444,302.720524
302.515370,302.411677
302.839712,301.057406
303.446875,301.350421
302.179215,300.771795
303.274924,301.216891
303.190121,301.678110
302.786447,302.130642
302.371516,301.169936
303.140413,301.213534
302.848215,300.472471
303.236750,301.469684
303.137658,301.024118
303.932842,301.294335
303.016428,301.123790
302.627476,301.517708
