sensor_1_K,sensor_2_K
299.505439,299.872094
299.816107,300.404491
300.643963,300.127029
300.096987,299.857357
300.460115,300.157252
300.288552,300.038061
299.681768,300.127316
300.270976,301.000616
299.841702,299.847396
299.838805,299.730119
300.048584,300.706815
299.237035,299.647150
300.596083,300.859945
299.664455,299.902901
300.500135,300.036920
300.068161,300.366814
300.766017,300.606555
299.670015,300.498499
299.844103,299.898182
300.168885,299.816786
298.896264,300.173736
300.413961,300.067360
300.770815,299.678863
300.563403,300.205364
300.377385,300.497060
299.927011,300.083253
300.640951,300.782000
300.537015,300.205151
300.196310,299.922093
300.002557,300.050107
299.819117,299.719945
299.384884,299.484351
300.613115,300.238264
298.913978,299.573375
299.814926,299.820854
300.082190,299.955400
300.502585,300.192580
301.117828,300.230783
300.970621,300.027896
300.612251,299.036545
301.433318,299.901702
300.763740,299.622032
302.440688,299.961554
301.979629,300.523502
302.051168,300.444514
302.395004,300.170541
303.005658,300.335788
303.156536,299.365639
304.809010,300.238670
303.610556,300.489325
304.286041,299.864203
304.578457,300.464201
304.868012,300.119827
305.165907,300.862943
305.176904,300.973078
305.400708,300.211188
305.531515,301.273084
305.484325,300.512760
306.598189,301.707887
307.239819,300.502999
306.729812,300.855077
306.972051,301.006601
307.339543,300.603628
307.510449,300.197409
307.262305,300.743266
308.899472,301.767591
308.669818,301.149787
308.324901,301.238580
309.056898,302.249505
308.913878,301.828284
309.249404,302.024210
309.756729,302.190347
310.268246,301.405409
310.766110,302.015813
311.070530,302.123639
310.304085,302.064846
310.386358,301.694102
310.891589,302.569366
311.109422,301.605553
310.879556,302.063946
311.135857,302.225833
312.050220,302.522729
312.660084,303.247851
311.919689,303.754324
311.900913,303.885930
312.273409,303.526789
312.106009,303.442420
312.653939,302.153209
313.186753,303.985416
313.118407,304.833630
313.958337,303.844291
313.596917,303.833435
313.940942,304.164164
313.803426,304.277344
314.711602,304.078490
313.617127,303.921891
314.249628,304.387190
313.986319,303.617652
315.156680,303.459275
315.337745,305.177587
314.822425,304.364390
316.075793,305.047359
315.263256,305.562283
314.884091,305.490361
315.597830,304.698379
316.079873,305.231915
315.942892,304.580554
317.351884,305.204959
316.804679,305.873482
317.399328,305.459286
317.382191,304.109952
316.000786,304.501925
316.808112,305.318237
315.784959,306.476668
316.977124,306.000148
318.007917,306.061337
317.177737,305.422343
317.428921,306.242697
318.057213,305.120574
318.433652,306.517277
318.006665,307.023701
