sensor_1_K,sensor_2_K
300.609434,300.358551
297.920032,300.439993
301.500902,302.718375
301.881129,301.670222
296.097930,300.713742
297.395641,302.926606
300.255681,297.622474
299.367515,298.720497
299.966398,298.146848
298.293912,299.220380
301.758796,297.246628
301.555584,301.270302
300.132061,299.555555
302.254482,297.058387
300.935019,297.968842
298.281415,300.627028
300.737502,301.676253
298.082235,303.993462
301.756901,305.827725
299.900148,300.828819
299.630275,298.020924
298.638141,295.735907
302.445083,300.535423
299.690941,298.374118
299.143344,299.169285
299.295733,298.775806
301.064618,299.718418
300.730888,302.131960
300.825465,300.314097
300.861642,299.682730
304.283295,297.928692
299.187170,296.650634
298.975515,299.027384
298.372455,299.892435
301.231959,303.535860
302.257945,300.260549
299.844749,301.965507
298.556684,299.001611
298.824997,297.630897
302.059197,298.071965
302.555763,298.554546
302.480848,304.266741
300.394699,298.374455
302.522189,301.704817
302.621419,298.236247
303.151911,301.923522
304.779196,300.852810
303.800120,299.796567
305.021883,300.059711
304.104804,298.867494
304.847976,301.109411
305.827009,299.351740
301.939564,297.859028
304.498892,297.806815
304.476940,300.764044
304.414656,303.636762
305.412310,300.861606
309.218295,300.370523
304.758373,301.248567
308.684187,303.360780
303.635615,301.261964
306.581588,300.078151
307.823291,303.191604
308.913214,301.917611
309.402893,304.214580
309.803612,301.594257
307.752867,298.865182
307.756045,298.665615
310.624264,304.792960
308.750498,305.028847
306.803850,301.314018
307.308173,300.999249
307.952859,304.782007
311.000670,299.739358
310.503427,300.259077
311.809485,303.430932
309.781727,301.451408
311.158870,302.327232
312.296431,302.107899
310.627974,303.207629
312.359645,305.445466
310.319732,302.909965
311.113076,304.115183
311.269464,298.825639
309.833217,302.927346
313.389039,301.437199
311.664770,300.784947
312.815363,301.565179
313.937025,302.752109
314.052140,305.350961
314.671818,300.965067
313.324502,303.777678
312.853786,302.846478
313.718369,303.257684
310.679100,306.016548
311.334075,305.185030
311.756024,306.881107
312.578670,303.994535
315.543091,303.008603
313.101626,304.049400
314.323983,305.078415
317.845193,305.042528
314.699359,302.616210
317.050811,305.061201
313.871197,305.431532
315.488988,310.104486
314.160044,308.917287
315.541057,303.550759
318.057602,304.775707
313.079048,302.516389
317.558095,304.354222
317.319149,306.258767
315.808692,308.130737
314.257086,304.351880
317.444582,304.592313
316.391380,301.696122
318.064695,305.754995
317.790970,304.044652
321.097703,305.199281
317.561283,304.592639
316.137827,306.245556
