sensor_1_K,sensor_2_K
300.152359,299.796792
299.671010,299.747580
300.896253,299.610478
301.433080,300.355433
300.540231,300.664085
301.535055,300.121749
303.041709,299.869070
303.729846,300.022440
304.897116,300.943701
305.583650,301.213983
307.612786,301.378719
308.747379,301.078855
309.559284,301.868709
311.198959,302.183384
311.880873,302.631150
312.099224,303.370039
313.440682,303.464738
313.335752,304.106995
314.640996,304.201978
314.397076,304.690316
314.397679,305.208064
314.085491,304.473465
314.864192,305.310545
313.918086,305.459929
313.462423,305.556299
313.141443,305.875743
313.201812,306.857651
312.727610,305.736680
312.361835,306.679550
311.989876,305.350330
312.477117,305.995392
