sensor_1_K,sensor_2_K
300.152359,300.089638
299.480008,300.109998
300.375226,300.679594
300.470282,300.417556
299.024482,300.178436
299.348910,300.731651
300.063920,299.405618
299.841879,299.680124
299.991599,299.536712
299.573478,299.805095
300.439699,299.311657
300.388896,300.317575
300.033015,299.888889
300.563621,299.264597
300.233755,299.492210
299.570354,300.156757
300.184375,300.419063
299.520559,300.998365
300.439225,301.456931
299.975037,300.207205
299.907569,299.505231
299.659535,298.933977
300.611271,300.133856
299.922735,299.593529
299.785836,299.792321
299.823933,299.693952
300.266155,299.929605
300.182722,300.532990
300.206366,300.078524
300.215411,299.920683
301.070824,299.482173
299.796792,299.162659
299.743879,299.756846
299.593114,299.973109
300.307990,300.883965
300.564486,300.065137
300.015670,300.491398
299.816919,299.750555
300.061719,299.408313
301.083308,299.519640
301.440882,299.642385
301.666117,301.074036
301.392964,299.606535
302.173947,300.447083
302.446390,299.590638
302.823878,300.526162
303.472053,300.275384
303.464726,300.031524
304.003512,300.120855
304.003436,299.849676
304.414297,300.440303
304.880077,300.034216
304.125298,299.697437
304.978398,299.723721
305.182499,300.505162
305.372973,301.268125
305.825024,300.621619
306.975883,300.548481
306.057120,300.819828
307.231770,301.401777
306.159920,300.932890
307.083916,300.694542
307.579161,301.532171
308.033880,301.274477
308.336053,301.910946
308.613591,301.319405
308.275955,300.701886
308.449572,300.717854
309.337300,302.316568
309.037454,302.443348
308.717379,301.583296
309.008104,301.574029
309.332037,302.589841
310.254928,301.399927
310.289788,301.601167
310.773757,302.465942
310.422606,302.043315
310.921061,302.334915
311.358045,302.353063
311.091993,302.701267
311.674482,303.334243
311.312621,302.774087
311.657656,303.149274
311.842070,301.900897
311.626976,303.000424
312.658581,302.702044
312.368874,302.613166
312.796622,302.882407
313.215905,303.253294
313.382344,303.977108
313.673741,302.954656
313.472230,303.731731
313.488733,303.572732
313.837946,303.749194
313.210102,304.512411
313.504744,304.377857
313.740074,304.875010
314.074540,304.226293
314.943430,304.052516
314.459845,304.385189
314.891227,304.714669
315.896350,304.777668
315.233755,304.242792
315.944537,304.925466
315.271624,305.089190
315.797144,306.328275
315.585077,306.102020
316.049607,304.830624
316.797139,305.206782
315.670028,304.711552
316.906460,305.240283
316.962546,305.785360
316.699916,306.321956
316.426173,305.445505
317.336387,305.573533
317.185619,304.917056
317.715681,305.998994
317.758191,305.638274
318.695035,305.993440
317.920316,305.907930
317.673073,306.386950
