case_id,flux_family,noise_level,sensor_count,sensor_layout,time_resolution,seed,variant_name,flux_l2_error,flux_relative_l2_error,flux_rmse,flux_peak_error,flux_correlation,replay_rmse,replay_relative_error,replay_max_abs_error,roughness_l1,roughness_l2,oscillation_score,sign_flip_count,physical_violation_count,within_bounds_flag,final_decision,success_flag,weak_pass_flag,manual_review_flag,failure_flag,iteration_count,replanning_count,runtime_sec,final_lambda,final_reg_order,final_variant_name,initial_to_final_improvement,last_verifier_decision
case_0001,step,0.1,2,"0.01,0.03",1.0,42,fixed_lambda_ablation,256107.30393828708,0.5555747469403434,23282.482176207915,30700.31653257432,0.8508196209873427,2.294282373228909,0.1254002447260578,5.859223976328224,8.993265510071069e-07,2.1747245977058545e-07,4.145078889619109e-26,0,0,True,fail,0,0,0,1,9,8,0.4715273743495345,390625.0,1,fixed_lambda_ablation,-5.834478594544011e-06,fail
case_0001,step,0.1,2,"0.01,0.03",1.0,42,fixed_reg_order_0,65013.55715763033,0.1410342071862411,5910.323377966393,35773.790823705305,0.966733827713654,0.1000012037580548,0.0054658378456317,0.398535539623424,113793.7750551527,42871.47562155352,0.058305596567719,5,0,True,weak_pass,1,1,0,0,1,0,0.0605292753316462,7.57869381196801e-10,0,fixed_reg_order_0,0.0,weak_pass
case_0001,step,0.1,2,"0.01,0.03",1.0,42,fixed_reg_order_2,54940.81138799383,0.1191833536732593,4994.619217090348,31678.639944889244,0.9758528010724712,0.1000922303319054,0.0054708131506642,0.3733292902442144,66339.40391575586,29887.334850334297,0.0100812208057824,3,0,True,weak_pass,1,1,0,0,1,0,0.0604501622729003,1.4150793782397743e-09,2,fixed_reg_order_2,0.0,weak_pass
case_0001,step,0.1,2,"0.01,0.03",1.0,42,full_agent_baseline,53741.49208524445,0.1165816648190976,4885.590189567677,31976.940309365204,0.976945292997508,0.1002284238288479,0.0054782571767553,0.3944210903939051,62774.187745696574,29501.01697446324,0.0107858386681254,3,0,True,weak_pass,1,1,0,0,1,0,0.0647330270148813,1.933632880517601e-09,1,full_agent_baseline,0.0,weak_pass
case_0001,step,0.1,2,"0.01,0.03",1.0,42,no_bounds,53741.49208524445,0.1165816648190976,4885.590189567677,31976.940309365204,0.976945292997508,0.1002284238288479,0.0054782571767553,0.3944210903939051,62774.187745696574,29501.01697446324,0.0107858386681254,3,0,True,weak_pass,1,1,0,0,1,0,0.0609640921466052,1.933632880517601e-09,1,no_bounds,0.0,weak_pass
case_0001,step,0.1,2,"0.01,0.03",1.0,42,no_replanner,53741.49208524445,0.1165816648190976,4885.590189567677,31976.940309365204,0.976945292997508,0.1002284238288479,0.0054782571767553,0.3944210903939051,62774.187745696574,29501.01697446324,0.0107858386681254,3,0,True,weak_pass,1,1,0,0,1,0,0.0601640180684626,1.933632880517601e-09,1,no_replanner,0.0,weak_pass
case_0001,step,0.1,2,"0.01,0.03",1.0,42,no_verifier,53741.49208524445,0.1165816648190976,4885.590189567677,31976.940309365204,0.976945292997508,0.1002284238288479,0.0054782571767553,0.3944210903939051,62774.187745696574,29501.01697446324,0.0107858386681254,3,0,True,pass,1,0,0,0,1,0,0.0601405231282115,1.933632880517601e-09,1,no_verifier,0.0,pass
case_0002,step,0.1,2,"0.01,0.03",1.0,123,fixed_lambda_ablation,255997.010377326,0.555335486613606,23272.45548884781,30753.39591068213,0.8508517198005586,2.298867812562277,0.125142933944862,5.737659489443729,9.00796294445172e-07,2.179052324431653e-07,4.152043047861645e-26,0,0,True,fail,0,0,0,1,9,8,0.4607363548129797,390625.0,1,fixed_lambda_ablation,-5.834452594253699e-06,fail
case_0002,step,0.1,2,"0.01,0.03",1.0,123,fixed_reg_order_0,63225.37717373844,0.1371551001605629,5747.761561248949,34872.88916409801,0.9684971220981252,0.1057606013760893,0.0057572653284597,0.4254638387275236,101666.95407139669,38346.48706881375,0.0362300364730411,6,0,True,weak_pass,1,1,0,0,1,0,0.0604091649875044,7.57869381196801e-10,0,fixed_reg_order_0,0.0,weak_pass
case_0002,step,0.1,2,"0.01,0.03",1.0,123,fixed_reg_order_2,53428.6703729263,0.1159030592464097,4857.15185208421,32493.567515452443,0.9771697099576412,0.0992933900524117,0.0054052112455481,0.289296391494247,70997.94336347969,31619.121475902,0.0137717431107354,2,0,True,weak_pass,1,1,0,0,1,0,0.0607142271474003,7.57869381196801e-10,2,fixed_reg_order_2,0.0,weak_pass
