case_id,flux_family,noise_level,difficulty,solver_name,verif_decision,agent_status,flux_rmse,flux_correlation,replay_rmse,n_iterations,runtime_s,lambda_used,tradeoff_label,solver_method,warnings
case_0001,step,0.1,easy,tikhonov,weak_pass,weak_pass,4885.6,0.9769,0.10023,1,0.063,1.9336328805176017e-09,under_regularized,lstsq_normal_equations,
case_0001,step,0.1,easy,tsvd,weak_pass,weak_pass,6043.6,0.9659,0.08567,1,0.054,0.01,under_regularized,tsvd_k24,
case_0003,step,0.5,moderate,tikhonov,weak_pass,weak_pass,7900.6,0.9405,0.50465,1,0.061,1.5299565849983015e-07,under_regularized,lstsq_normal_equations,
case_0003,step,0.5,moderate,tsvd,weak_pass,weak_pass,8295.5,0.9341,0.45241,3,0.157,0.05,under_regularized,tsvd_k12,
case_0005,step,1.0,hard,tikhonov,weak_pass,weak_pass,9853.4,0.9137,1.00302,1,0.061,7.288618329537238e-07,under_regularized,lstsq_normal_equations,
case_0005,step,1.0,hard,tsvd,weak_pass,weak_pass,8615.1,0.9287,0.8933,3,0.159,0.05,under_regularized,tsvd_k12,
case_0013,single_pulse,0.1,easy,tikhonov,weak_pass,weak_pass,1697.1,0.997,0.10116,1,0.064,2.3502809753699754e-08,under_regularized,lstsq_normal_equations,
case_0013,single_pulse,0.1,easy,tsvd,weak_pass,weak_pass,4308.1,0.9784,0.0853,1,0.054,0.01,under_regularized,tsvd_k24,
case_0015,single_pulse,0.5,moderate,tikhonov,weak_pass,weak_pass,4039.9,0.9927,0.5073,1,0.061,1.5299565849983015e-07,under_regularized,lstsq_normal_equations,
case_0015,single_pulse,0.5,moderate,tsvd,weak_pass,weak_pass,1993.4,0.9952,0.44315,3,0.155,0.05,under_regularized,tsvd_k12,
case_0017,single_pulse,1.0,hard,tikhonov,weak_pass,weak_pass,2521.9,0.9926,0.88521,7,0.365,6.099283134889795e-09,under_regularized,lstsq_normal_equations,
case_0017,single_pulse,1.0,hard,tsvd,weak_pass,weak_pass,15630.9,0.7732,0.87568,7,0.362,0.03125,under_regularized,tsvd_k16,
case_0025,smooth_sinusoid,0.1,easy,tikhonov,weak_pass,weak_pass,3210.2,0.974,0.10001,1,0.061,4.9334835386994775e-09,under_regularized,lstsq_normal_equations,
case_0025,smooth_sinusoid,0.1,easy,tsvd,weak_pass,weak_pass,4611.2,0.9507,0.0849,1,0.053,0.01,under_regularized,tsvd_k24,
case_0027,smooth_sinusoid,0.5,moderate,tikhonov,weak_pass,weak_pass,6126.2,0.9166,0.50287,1,0.06,5.996522204464461e-08,under_regularized,lstsq_normal_equations,
case_0027,smooth_sinusoid,0.5,moderate,tsvd,weak_pass,weak_pass,5656.3,0.9311,0.44516,3,0.157,0.05,under_regularized,tsvd_k12,
case_0029,smooth_sinusoid,1.0,hard,tikhonov,weak_pass,weak_pass,9613.2,0.8089,0.99797,1,0.06,2.856706006006389e-07,under_regularized,lstsq_normal_equations,
case_0029,smooth_sinusoid,1.0,hard,tsvd,weak_pass,weak_pass,6144.8,0.9214,0.88745,3,0.155,0.05,under_regularized,tsvd_k12,
