case_id,scenario,flux_family,noise_level,sensor_count,sensor_layout,time_resolution,seed,variant_name,flux_l2_error,flux_relative_l2_error,flux_rmse,flux_peak_error,flux_correlation,replay_rmse,replay_relative_error,replay_max_abs_error,roughness_l1,roughness_l2,oscillation_score,sign_flip_count,physical_violation_count,within_bounds_flag,final_decision,success_flag,weak_pass_flag,manual_review_flag,failure_flag,iteration_count,replanning_count,runtime_sec,final_lambda,final_reg_order,final_variant_name,initial_to_final_improvement,last_verifier_decision
high_noise_case_0001,high_noise,step,2.0,2,"0.01,0.03",1.0,42,full_agent,75110.05255985635,0.1629365808859296,6828.186596350578,29787.107607248057,0.9566036629020466,1.7772220853496012,0.0700747725180661,5.831429580105748,75643.03201047657,22664.05732529109,0.0065675772509557,1,0,True,weak_pass,1,1,0,0,9,8,0.4724820931442082,1.3563486681011864e-08,1,full_agent,0.1105966077468183,weak_pass
high_noise_case_0002,high_noise,step,2.0,2,"0.01,0.03",1.0,123,full_agent,255411.3007214148,0.5540649039755496,23219.20915649225,31044.66626259563,0.8501548876818519,2.929356492386344,0.1164054852771477,9.875166453274971,0.8659205656222184,0.2102489844778344,3.8332374193624446e-14,0,0,True,fail,0,0,0,1,9,8,0.472387580666691,0.3890437689468681,1,full_agent,-0.4638376358642006,fail
high_noise_case_0003,high_noise,step,5.0,2,"0.01,0.03",1.0,42,full_agent,260767.67789395235,0.5656845174984295,23706.15253581385,28840.94419306989,0.8468272023321922,4.803133452824279,0.1313649824389147,14.360105724825589,9.634648449718952e-06,2.3042048929293496e-06,5.033894723366786e-24,0,0,True,fail,0,0,0,1,9,8,0.4674309208057821,29604.272703000115,1,full_agent,-1.0996770236627367e-05,fail
high_noise_case_0004,high_noise,step,5.0,2,"0.01,0.03",1.0,123,full_agent,184813.70248038523,0.4009172109023088,16801.24568003502,28160.326435956376,0.8601070220916609,5.008316026455844,0.1298026516805168,15.052210542853231,20502.8285485565,5115.411815098711,2.0588560582949005e-05,0,0,True,fail,0,0,0,1,9,8,0.4732585288584232,8.859127898186546e-06,1,full_agent,0.0,fail
high_noise_case_0005,high_noise,single_pulse,2.0,2,"0.01,0.03",1.0,42,full_agent,45652.38298535432,0.1167842123010415,4150.21663503221,10590.28524079602,0.9795063268003787,1.7706607701695598,0.0878640460550175,5.823348698930488,115995.07593167997,28832.90496009525,0.0174635798247924,0,0,True,weak_pass,1,1,0,0,9,8,0.488815045915544,7.264151690625334e-09,1,full_agent,0.1139443774143837,weak_pass
high_noise_case_0006,high_noise,single_pulse,2.0,2,"0.01,0.03",1.0,123,full_agent,235164.51579007908,0.6015787335024935,21378.59234455264,35093.96373642702,0.664793002830125,2.391526867361891,0.1144815864964796,8.843079749665378,0.5299790995049989,0.1419640719095808,2.1143322511129376e-14,0,0,True,fail,0,0,0,1,9,8,0.4709385121241212,0.2083588842888742,1,full_agent,-0.1911964469469369,fail
high_noise_case_0007,high_noise,single_pulse,5.0,2,"0.01,0.03",1.0,42,full_agent,228831.67595635125,0.585378577820635,20802.87963239557,32890.565911021884,0.5665983731887181,4.680604974717144,0.1537341240262225,14.415435659514117,5.363508535083383e-06,1.36679082353422e-06,1.7276155026951582e-24,0,0,True,fail,0,0,0,1,9,8,0.4697813745588064,29604.272703000115,1,full_agent,-4.074110967183632e-06,fail
high_noise_case_0008,high_noise,single_pulse,5.0,2,"0.01,0.03",1.0,123,full_agent,218752.63941529684,0.5595952064777181,19886.60358320881,31201.097629729386,0.6682265214082094,5.001038264743968,0.1506705152604164,16.67578469580843,5883.536900748815,1580.4681199282318,2.700300364718038e-06,0,0,True,fail,0,0,0,1,9,8,0.4751064688898623,1.6541596096830655e-05,1,full_agent,0.0,fail
few_sensors_case_0009,few_sensors,step,0.5,1,0.03,1.0,42,full_agent,104414.54461296066,0.2265069496581605,9492.231328450967,25637.297143104075,0.9103178873629024,0.3956544941910929,0.0492440344565041,1.0265338384464826,54574.13031568277,14933.91069480854,0.0001881383396109,1,0,True,weak_pass,1,1,0,0,4,3,0.2134397937916219,2.3682823670591072e-08,1,full_agent,0.1974857492460694,weak_pass
few_sensors_case_0010,few_sensors,step,0.5,1,0.03,1.0,123,full_agent,114586.3077091406,0.2485726019109327,10416.937064467324,27366.67806641672,0.9004728303043313,0.4713672374775807,0.0600945895782795,1.3504693804305816,169047.01909471006,43528.087944534665,0.0200585408375255,2,0,True,weak_pass,1,1,0,0,9,8,0.4691812968812883,1.5535219771753954e-10,1,full_agent,0.0611382569334387,weak_pass
few_sensors_case_0011,few_sensors,single_pulse,0.5,1,0.03,1.0,42,full_agent,97922.61205922774,0.2504976600994978,8902.055641747977,17342.467352694683,0.9921313216770588,0.3936114852867507,0.0485964583508341,0.9760037093780624,65519.2683712327,16026.58106925274,0.0007690088889417,0,0,True,weak_pass,1,1,0,0,8,7,0.421807155944407,9.635468164734708e-09,1,full_agent,0.2127371860634144,weak_pass
few_sensors_case_0012,few_sensors,single_pulse,0.5,1,0.03,1.0,123,full_agent,127710.26002103204,0.326697997870169,11610.02363827564,24977.073765358786,0.8837591461841895,0.4702837979197575,0.0560059418503914,1.3502910651288855,209486.15842315456,53338.50328501737,0.0595474471004255,2,0,True,weak_pass,1,1,0,0,9,8,0.4792617741040885,6.088884562215295e-11,1,full_agent,0.0547822527243064,weak_pass
few_sensors_case_0013,few_sensors,smooth_sinusoid,0.5,1,0.03,1.0,42,full_agent,156949.02334610454,0.336456693041944,14268.093031464046,22287.320749539023,0.3684123124447777,0.4588170710446547,0.048950496975718,1.3406495756300956,0.1305537424123031,0.0360607002689503,1.0364188623593662e-15,0,0,True,weak_pass,1,1,0,0,1,0,0.0651084235869348,0.026919428858112,1,full_agent,0.0,weak_pass
